"";"banalfreq";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"nudo";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,6454;0,3175
"nar";38;-1,0417;-0,1035;0,8511;-0,7421;0,4234;-1,0756;1,0324;0,4477
"viceversa";15;1,9556;-0,0408;-0,1141;-0,2929;-0,0812;-0,2989;-0,2955;-0,3439
"schneider";13;-0,3564;-0,0354;-0,0989;-0,2539;0,8252;-0,2212;0,2816;0,3731
"adverso";22;-0,6031;-0,0599;0,4952;1,1537;-0,1191;-0,344;0,3012;-0,2953
"800";12;1,479;-0,0327;1,7516;-0,2343;-0,0649;-0,1856;-1,9486;0,4456
"escolarización";12;-0,329;-0,0327;0,7223;-0,2343;-0,0649;0,8518;-1,9486;1,2467
"ocupacional";15;-0,4112;1,047;-0,1141;0,3093;-0,0812;-0,6247;0,3066;0,4932
"delos";44;-1,2062;-0,1198;-0,3347;-0,8593;-0,2381;-0,6988;1,9221;0,3625
"lec";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;0,2262;-1,0919;1,4456
"escritorio";26;1,1467;-0,0708;-0,1978;-0,1661;-0,1407;0,536;-1,1779;0,4883
"solar|soler";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;0,4588;-0,4581;0,4456
"asis";20;-0,5483;-0,0544;1,332;-0,3906;-0,1082;0,3302;0,4572;-0,392
"opcional";35;-0,9595;-0,0953;-0,2662;-0,6835;-0,1894;0,8511;-0,9768;1,7656
"questionnaire";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-0,3406;-0,3769;1,5434
"englobar";26;-0,7128;-0,0708;1,1282;-0,5077;-0,1407;-1,3441;1,3278;0,3049
"recur";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,3081;0,5756;0,5774
"bondad";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;0,4164;1,0031;-0,526
"predictiva";59;0,3091;-0,1606;-0,4487;-0,5824;0,7801;0,6673;-0,4035;0,2706
"schooling";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;0,399;-0,5723;1,079
"occupational";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;0,254;1,4456
"hu";52;-1,4255;-0,1416;1,8966;0,7109;0,8671;-0,2344;-1,1008;0,6567
"parar|parir";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;0,5288;-1,0919;0,9267
"247";10;0,3297;1,2164;-0,0761;-0,1953;-0,0541;-0,337;-0,9208;1,0923
"porcionar";13;-0,3564;-0,0354;0,6912;-0,2539;-0,0703;-0,5053;0,2816;0,6739
"agency";29;-0,795;-0,079;-0,2206;-0,5663;-0,1569;-0,6325;0,4452;1,38
"cation";28;-0,7676;-0,0762;-0,213;-0,5468;-0,1515;0,2594;0,5266;0,5863
"brindándoles";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-1,093;1,3967
"nicación";16;-0,4386;-0,0436;-0,1217;0,2899;-0,0866;-1,326;0,4175;1,0809
"char";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;-0,8287;-0,5175;1,6852
"successful";11;-0,3016;-0,0299;-0,0837;-0,2148;0,8925;0,2262;-0,6493;0,9267
"default";38;0,3839;-0,1035;0,3134;0,299;-0,2056;-0,4781;0,6025;-0,4531
"trends";60;-0,9538;-0,1633;0,5533;-0,2964;-0,3247;0,8312;-0,4523;0,4742
"1787";37;-1,0143;-0,1007;-0,2814;-0,7226;-0,2002;0,5116;-0,2466;0,9301
"mediated";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;1,0789;-0,2851
"02";94;-0,506;-0,2559;0,3124;0,4004;-0,1705;1,0798;-0,7164;0,2901
"fr";19;-0,5209;0,9497;-0,1445;1,313;0,6761;1,4618;-0,9919;-0,9699
"2023c";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;1,1122;0,6832;-0,884
"draft";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,3459;0,6391
"sitiva";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,6454;0,6391
"petencia";23;-0,6305;-0,0626;-0,1749;-0,4492;-0,1245;-1,9061;0,8469;1,3642
"sim";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,4588;-0,79;1,2467
"plejos";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;-0,2604;1,0923
"inapropiado";26;-0,2823;-0,0708;-0,1978;-0,5077;-0,1407;0,3185;-0,8621;1,7788
"escalar";22;-0,6031;-0,0599;-0,1673;-0,4296;-0,1191;0,4784;0,7058;-0,2953
"dispo";17;-0,466;-0,0463;1,4624;-0,332;0,7192;-0,3841;-0,739;0,9528
"colar";11;1,5841;-0,0299;-0,0837;-0,2148;0,8925;-0,9116;-0,6493;0,533
"blackboard";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-0,6861;0,6723;0,7081
"explicativo";18;1,0273;0,9718;-0,1369;-0,3515;-0,0974;-0,21;0,2592;-0,526
"204";17;1,0871;-0,0463;1,4624;0,2721;-0,092;0,4678;-0,739;-0,8
"cognitivo";142;1,2733;0,6521;-0,5349;-1,3151;0,2789;1,164;-1,0548;0,2849
"extracurriculares";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;-0,2604;0,3175
"denuncia";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,4476;-0,4581;1,2467
"tivas";57;-1,5626;-0,1552;1,1148;-0,2682;-0,3085;-0,491;-0,5492;1,7463
"monitorización";34;1,7955;-0,0926;-0,2586;-0,664;-0,184;-1,2999;1,0192;-0,4615
"cesario";14;-0,3838;-0,0381;1,622;-0,2734;-0,0758;-1,1602;-0,2234;0,9363
"aso";11;-0,3016;-0,0299;0,7564;-0,2148;-0,0595;-0,9116;0,4901;0,533
"rial";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;-0,4129;1,9614
"pel";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;0,2678;-0,5175;0,6391
"vidades";13;-0,3564;-0,0354;0,6912;-0,2539;-0,0703;-0,5053;-0,5723;1,5931
"infrastructure";15;-0,4112;-0,0408;-0,1141;0,8565;-0,0812;-0,6247;-0,8258;1,7377
"exposure";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;-0,5175;1,6852
"beliefs";23;-0,6305;-0,0626;-0,1749;-0,4492;-0,1245;-1,9061;1,1642;0,9956
"emotional";31;-0,8498;-0,0844;-0,2358;-0,2205;-0,1678;-0,4507;0,8788;0,4228
"mana";14;-0,3838;-0,0381;-0,1065;0,3305;-0,0758;-1,1602;0,3956;0,9363
"ciona";13;-0,3564;-0,0354;0,6912;-0,2539;-0,0703;-1,0774;-0,3214;1,5931
"der";88;-1,051;-0,2396;0,7054;0,4621;0,5266;0,448;-0,6562;0,5498
"389";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,9945;-0,24;1,2467
"digi";32;-0,8773;-0,0871;0,9738;0,3833;-0,1732;-1,7639;0,5581;0,7927
"impactar";30;-0,8224;-0,0817;-0,2282;-0,5859;-0,1623;0,3723;0,3749;0,688
"prácti";23;-0,6305;-0,0626;1,2223;-0,4492;-0,1245;-1,9061;1,5478;0,2662
"socioeconómicos";38;-1,0417;-0,1035;1,5513;1,6083;-0,2056;0,4739;-0,7761;-0,3016
"oportuni";16;-0,4386;-0,0436;1,5118;-0,3125;-0,0866;-1,326;0,2365;1,0809
"pausa";22;0,8283;-0,0599;-0,1673;-0,4296;-0,1191;0,7701;0,3012;-0,8055
"individualizados";14;-0,3838;-0,0381;-0,1065;0,3305;-0,0758;0,667;0,3956;-0,5615
"motivador";24;-0,6579;0,8549;-0,1825;-0,4687;-0,1299;-0,4201;0,4932;0,6158
"periódicamente";22;1,3741;-0,0599;-0,1673;0,2019;0,6202;-0,6236;-1,4125;1,1056
"findings";31;-0,8498;-0,0844;-0,2358;0,3999;-0,1678;0,3396;0,462;0,2683
"transformarse";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,9208;1,6852
"colaborador";45;1,2587;0,6094;0,7357;-0,8788;-0,2435;0,6084;0,4237;-1,7822
"organi";16;-0,4386;-0,0436;1,5118;0,8108;-0,0866;-1,326;-0,3769;0,7081
"privilegio";16;1,1519;-0,0436;0,6119;0,2899;-0,0866;-0,3406;-0,6225;-0,2063
"sumergirse";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;-0,3537;0,9267
"logía";42;-1,1514;-0,1143;1,4395;-0,8202;-0,2273;-0,9087;1,3064;0,2994
"ofre";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-1,326;0,6723;1,0809
"ciendo";18;-0,4935;-0,049;0,568;-0,3515;-0,0974;-1,4917;0,2592;1,6875
"digitalizado";41;-1,124;-0,1116;-0,3118;-0,8007;-0,2219;-1,2367;1,7688;0,6661
"globalizar";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-0,6861;0,4175;1,0809
"análi";17;-0,466;-0,0463;-0,1293;-0,332;0,7192;-1,4089;0,3298;1,3732
"presentarse";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-0,2234;-0,2897
"estandarizar";32;0,5067;-0,0871;0,3675;-0,2319;-0,1732;-1,1799;0,5581;0,3784
"ente";17;-0,466;-0,0463;0,5892;-0,332;-0,092;-0,3841;0,3298;0,6165
"descriptiva";24;-0,6579;-0,0653;-0,1825;-0,4687;-0,1299;0,6424;1,3399;-0,9577
"230";12;-0,329;-0,0327;1,7516;-0,2343;-0,0649;-0,4476;-0,4581;0,7892
"foque";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-1,326;0,6723;1,0809
"interpretativo";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;0,7197;0,2592;0,3093
"evaluadores";10;-0,2741;-0,0272;-0,0761;0,4411;-0,0541;-0,337;1,0789;-0,6219
"anali";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;0,3956;0,9363
"optimizan";11;-0,3016;1,1763;-0,0837;-0,2148;-0,0595;-0,9116;0,4901;0,533
"expediente";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-1,4917;1,9005;0,3093
"orga";13;-0,3564;-0,0354;1,684;0,961;-0,0703;-1,0774;-0,5723;0,6739
"modernidad";17;-0,466;-0,0463;-0,1293;-0,332;0,7192;0,4678;-0,2741;0,3615
"éti";12;-0,329;-0,0327;1,7516;-0,2343;-0,0649;-0,9945;0,6529;-0,1927
"intrínsecamente";18;-0,4935;-0,049;-0,1369;1,3736;0,697;-0,8119;-0,5646;0,8405
"núcleo";51;-0,4097;-0,1388;-0,3879;0,4088;-0,276;-0,9923;1,4526;-0,334
"armonizar";11;-0,3016;-0,0299;-0,0837;1,0878;-0,0595;-0,9116;0,4901;0,2581
"cola";21;0,4308;-0,0572;1,2934;-0,4101;-0,1136;0,5296;-0,6124;-0,2543
"239";15;-0,4112;-0,0408;0,6363;0,3093;-0,0812;0,5919;0,3066;-0,6385
"confinamiento";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;-0,9411;0,6944;0,9731
"novedosa";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;0,3302;0,9989;-0,392
"cinta";16;1,8519;-0,0436;-0,1217;1,509;-0,0866;0,8861;-1,4194;-1,2144
"preparándolos";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;-0,6247;0,3066;1,2276
"plata";35;-0,9595;-0,0953;0,3389;-0,6835;-0,1894;-0,3806;-0,2592;1,4081
"faci";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;-0,8287;-0,2604;1,0923
"sinergia";61;-0,9755;-0,1661;1,6644;-0,6108;0,2738;-1,8943;1,47;0,3211
"converger|convergir";23;-0,2328;-0,0626;-0,1749;-0,4492;0,6035;-0,6752;0,3914;0,6908
"dise";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-1,0068;0,8406;0,8682
"carga";163;-0,3394;-0,1373;-0,651;-0,3754;-0,8821;-1,5278;0,4228;1,8356
"asig";23;-0,6305;-0,0626;0,4794;-0,4492;-0,1245;-1,14;0,2426;1,7978
"siguien";12;-0,329;-0,0327;0,7223;0,3798;-0,0649;0,4588;-0,4581;-0,1927
"petencias";22;-0,6031;-0,0599;0,4952;-0,4296;-0,1191;-1,8232;0,7058;1,1056
"planear";37;0,4019;-0,1007;0,3216;-0,7226;-0,2002;1,0193;-0,3613;-0,4121
"introductorio";15;-0,4112;1,047;-0,1141;-0,2929;-0,0812;-0,2989;1,2287;-0,6385
"yectos";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;-0,8287;0,3459;0,6391
"ensamblar";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,4476;1,0452;-0,4162
"lización";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;-0,4129;1,9614
"tablero";41;0,6186;-0,1116;-0,3118;0,5705;0,3979;1,0617;-1,6461;0,3317
"exportar";17;-0,1422;-0,0463;0,5892;-0,332;-0,092;-0,3841;-0,2741;0,6165
"ajus";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;-0,8287;0,6454;0,3175
"rentes";28;-0,7676;-0,0762;1,0724;-0,1874;-0,1515;-1,4825;-0,3871;1,9149
"familiarización";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,4588;-0,24;0,4456
"ponente";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;-1,1602;0,6621;0,5763
"eléctrico";48;0,4711;-0,1307;0,2452;-0,4312;-0,2598;0,3383;0,8566;-0,9506
"caída";14;-0,3838;-0,0381;0,6627;-0,2734;-0,0758;1,6352;-0,6952;-0,2897
"implementada";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-0,21;-0,3473;1,2234
"salto";52;-0,4248;-0,1416;-0,3955;-1,0155;-0,2814;1,2467;-0,4073;0,4917
"ela";14;-0,3838;-0,0381;0,6627;-0,2734;0,7957;-1,1602;-0,4129;1,3967
"boración";11;-0,3016;-0,0299;1,8257;-0,2148;-0,0595;-0,9116;-0,3537;0,9267
"sumergir";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,3459;0,6391
"quier";11;-0,3016;-0,0299;1,8257;-0,2148;-0,0595;-0,3914;-0,3537;0,533
"inscribir";35;-0,9595;0,7055;0,9092;-0,6835;-0,1894;0,8511;-0,2592;-0,3357
"narios";13;-0,3564;-0,0354;0,6912;-0,2539;-0,0703;-0,2212;-0,9382;1,5931
"cono";41;-1,124;-0,1116;0,2905;-0,3404;-0,2219;-1,7364;0,716;1,443
"cimiento";68;-0,6851;-0,1851;0,4803;-0,3763;-0,368;-1,1102;0,5156;1,1488
"estimulantes";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;0,3476;-0,4129;0,5763
"participativos";15;-0,4112;-0,0408;-0,1141;0,8565;0,7683;0,3032;-1,2536;0,8138
"robotic";10;0,9156;-0,0272;-0,0761;0,4411;-0,0541;0,2678;-0,5175;-0,2851
"flipped";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;-0,8761;0,5598;1,0908
"simply";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;0,3956;0,9363
"cooperative";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,6454;0,6391
"curricula";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;0,838;-0,3487
"tridimensional";19;-0,5209;-0,0517;0,5481;0,6934;-0,1028;-0,4758;0,8354;-0,5923
"versidad";22;-0,6031;-0,0599;0,4952;0,2019;-0,1191;-0,6236;-0,4769;1,5036
"apostar";39;-0,52;-0,1062;1,5221;-0,7616;-0,2111;0,2776;-0,8636;1,3258
"revolucionar";59;-0,5343;1,2769;-0,1386;-1,1522;-0,3193;0,491;0,4;0,2706
"albergar";14;0,6782;-0,0381;1,622;-0,2734;-0,0758;-0,5644;-0,4129;0,3126
"óleo";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;1,7352;-1,5268;0,6391
"xvii";10;0,9156;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;-1,5268;0,6391
"pi";20;-0,5483;-0,0544;1,332;-0,3906;-0,1082;1,3432;-0,5169;-0,392
"villa";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,2604;0,3175
"promotor";16;-0,4386;-0,0436;-0,1217;0,2899;-0,0866;0,2647;0,6723;-0,4016
"aque";12;-0,329;-0,0327;0,7223;-0,2343;-0,0649;-0,4476;-0,79;1,8236
"llos";12;-0,329;-0,0327;1,7516;-0,2343;-0,0649;-0,9945;-0,79;1,8236
"vr";24;-0,6579;-0,0653;-0,1825;0,5452;-0,1299;0,9642;-0,6579;0,3948
"diver";27;-0,7402;-0,0735;-0,2054;-0,1767;-0,1461;0,2875;0,6206;0,2674
"gafas";13;0,7282;-0,0354;-0,0989;0,961;-0,0703;-0,2212;-0,5723;-0,2392
"recuperación";58;0,5516;-0,1579;-0,4411;-0,2775;-0,3139;0,9213;0,7357;-1,577
"reconstrucción";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;-1,1602;-0,4129;1,9614
"cómodo";42;1,8847;-0,1143;-0,3194;-0,8202;-0,2273;1,0004;-0,5191;-0,6338
"trucción";17;-0,466;-0,0463;0,5892;-0,332;-0,092;0,7982;-0,2741;-0,2479
"rescatar";16;1,8519;-0,0436;-0,1217;-0,3125;-0,0866;0,2647;-0,9632;0,4223
"fusión";33;-0,4063;0,7285;0,3576;-0,2434;-0,1786;-0,3208;1,8297;-1,7172
"adhesión";10;-0,2741;-0,0272;-0,0761;0,4411;-0,0541;-0,337;0,6454;-0,2851
"alcalá";29;-0,795;-0,079;-0,2206;-0,5663;-0,1569;-1,5523;1,4898;0,7597
"museo";40;-1,0966;-0,1089;-0,3042;-0,7811;-0,2165;1,8292;-0,7324;0,7249
"cesos";22;-0,6031;-0,0599;-0,1673;-0,4296;0,6202;-0,6236;0,7058;0,5091
"prolongar";22;-0,6031;-0,0599;0,4952;-0,4296;-0,1191;1,5777;0,4756;-1,2375
"bello";29;1,0073;-0,079;-0,2206;-0,5663;-0,1569;1,2837;-1,5743;0,5263
"sores";20;-0,5483;-0,0544;0,5294;-0,3906;-0,1082;-1,6575;0,2807;1,8295
"extra";28;-0,3167;-0,0762;-0,213;-0,5468;-0,1515;-0,9476;1,6893;-0,2302
"franja";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,259;-0,4129;1,3967
"268";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;-0,6493;1,4456
"álvaro";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-1,0774;0,8316;0,6739
"zamora";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;-0,9945;0,6529;0,7892
"archives";14;-0,3838;-0,0381;-0,1065;0,3305;0,7957;-0,5644;-0,4129;0,9363
"remote";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;0,3459;0,6391
"spatial";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;1,9597;-0,3487
"mr";13;-0,3564;-0,0354;-0,0989;0,3539;-0,0703;0,399;0,5087;-0,4873
"calderón";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;-1,5746;0,5598;1,5166
"inmersivas";32;-0,8773;-0,0871;-0,2434;-0,6249;-0,1732;-0,4876;1,6506;-0,2354
"guzmán";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;0,3459;-0,2851
"st";12;0,2748;-0,0327;-0,0913;0,3798;-0,0649;0,8518;-0,24;-0,8121
"applying";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-1,6372;1,9614
"far";10;0,9156;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;-0,9208;0,3175
"tangible";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,5731;0,8406;0,5774
"villalobos";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;1,3183;-0,7159
"1977";12;-0,329;-0,0327;-0,0913;1,0211;-0,0649;0,8518;-0,4581;-0,4162
"eks";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-1,4917;0,6832;1,2234
"14201";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-0,3406;0,4175;0,7081
"museum";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;1,3695;-0,79;-0,1927
"lens";25;-0,6854;-0,0681;-0,1901;-0,1558;-0,1353;-0,2549;-0,5232;1,4996
"protagonista";69;-1,1515;-0,1879;-0,5248;-1,3475;0,239;1,9279;-0,8409;0,8877
"logías";23;-0,6305;-0,0626;-0,1749;-0,4492;-0,1245;-1,14;0,3914;1,7978
"jetivos";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;0,7529;0,2816;-0,2392
"zados";14;-0,3838;-0,0381;0,6627;-0,2734;-0,0758;-1,1602;0,3956;0,9363
"adversario";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;-0,3914;0,254;0,533
"competitividad";49;-1,3433;0,5776;1,9853;-0,4445;-0,2652;-0,9049;1,1927;-0,3999
"encajar";15;0,2132;-0,0408;-0,1141;0,3093;-0,0812;-0,2989;0,3066;0,262
"sonalización";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;0,838;0,533
"ficación";16;-0,4386;-0,0436;0,6119;-0,3125;-0,0866;0,2647;0,6723;-0,4016
"vigente";61;-0,567;-0,1661;-0,1464;-0,6108;-0,3301;-1,1164;0,8389;0,9407
"tie";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;-0,4129;1,9614
"280";12;-0,329;-0,0327;0,7223;1,0211;-0,0649;-0,1856;0,372;-0,8121
"fesional";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;0,838;0,533
"sentan";10;-0,2741;-0,0272;0,7941;-0,1953;0,9312;0,2678;-0,5175;0,3175
"valoren";18;-0,1564;-0,049;-0,1369;0,2558;-0,0974;-0,4292;-0,5646;1,2234
"283";12;-0,329;-0,0327;0,7223;-0,2343;-0,0649;-0,4476;-0,24;0,7892
"senta";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;-0,6861;0,6723;0,7081
"deficiencia";33;-0,9047;0,7285;-0,251;0,3675;-0,1786;0,9762;-1,7229;1,286
"285";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,9208;1,6852
"división";61;0,2863;-0,1661;1,6644;1,7605;0,7577;1,0126;-1,2058;-1,4447
"ir|ser";28;1,5877;-0,0762;-0,213;-0,5468;-0,1515;0,2594;1,0038;-1,8076
"riencias";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,3459;1,0923
"reflexivos";18;-0,4935;-0,049;0,568;-0,3515;-0,0974;0,7197;-0,5646;0,5367
"lodge";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;-0,1856;-0,4581;1,2467
"buckingham";20;-0,186;-0,0544;-0,1521;0,2268;-0,1082;-0,5238;0,4572;0,4065
"acoger";26;-0,2823;-0,0708;1,1282;0,4977;-0,1407;0,3185;-1,1779;0,7258
"ferentes";17;-0,466;-0,0463;0,5892;-0,332;-0,092;-0,3841;0,5434;0,3615
"measuring";16;-0,4386;-0,0436;-0,1217;0,8108;-0,0866;0,526;-0,3769;-0,2063
"readiness";13;-0,3564;-0,0354;0,6912;1,7583;-0,0703;-1,0774;-0,5723;0,6739
"huma";27;-0,7402;-0,0735;0,4239;-0,1767;0,5441;-1,4131;0,4279;0,9246
"auditoría";57;-1,5626;-0,1552;0,1996;0,9784;-0,3085;0,7452;0,387;-0,539
"emerging";42;-1,1514;-0,1143;-0,3194;0,5514;0,3899;1,3037;-0,5191;-0,3027
"hughes";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;0,4901;0,2581
"kar";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,3459;1,0923
"conversational";22;-0,6031;-0,0599;-0,1673;0,2019;-0,1191;1,1368;0,3012;-0,5023
"reviews";19;-0,5209;-0,0517;-0,1445;0,2408;-0,1028;0,3707;-0,2559;0,4672
"path";10;-0,2741;-0,0272;-0,0761;0,4411;-0,0541;1,1009;-1,5268;0,6391
"thompson";18;-0,1564;-0,049;-0,1369;-0,3515;-0,0974;0,4164;-0,3473;0,5367
"shen";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-1,6372;1,9614
"ramón";11;0,3005;-0,0299;-0,0837;-0,2148;0,8925;-0,3914;0,4901;-0,3487
"reinvención";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;-0,3914;0,254;0,533
"37074";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;1,1009;-0,5175;0,3175
"jalt";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;0,7529;0,2816;-0,2392
"pedro";35;1,2204;1,6932;-0,2662;0,3381;-0,1894;1,513;-1,6052;-0,736
"futures";22;-0,6031;0,89;-0,1673;0,2019;-0,1191;0,4784;1,356;-1,8527
"evi";15;-0,4112;-0,0408;0,6363;-0,2929;-0,0812;-1,2431;0,3066;1,2276
"thomas";31;0,5312;-0,0844;-0,2358;1,3405;-0,1678;-1,1208;-0,2881;0,4228
"solution";15;-0,4112;-0,0408;0,6363;1,585;-0,0812;0,5919;-1,8274;0,4932
"horizons";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-0,5053;-0,3214;1,5931
"poblar";24;0,3601;-0,0653;0,4645;-0,4687;-0,1299;-0,4201;0,7174;-0,3852
"motivadores";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;0,3459;0,6391
"lev";15;1,2225;-0,0408;-0,1141;0,8565;-0,0812;1,481;-1,8274;-0,6385
"1978";16;0,5917;1,0203;-0,1217;-0,3125;-0,0866;0,8861;-0,9632;-0,2063
"socioemocional";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-1,0774;0,2816;1,5931
"abanico";55;-0,4708;-0,1497;-0,4183;-0,5263;-0,2976;-0,4357;1,2131;0,2705
"prometedoras";22;-0,6031;-0,0599;0,4952;0,5988;-0,1191;-1,8232;0,7058;0,5091
"mite";20;-0,186;-0,0544;-0,1521;-0,3906;-0,1082;-1,6575;1,837;-0,2163
"personali";25;-0,6854;-0,0681;-0,1901;-0,4882;-0,1353;-1,2756;0,606;1,4996
"identifi";17;-0,466;-0,0463;1,4624;-0,332;-0,092;-1,4089;0,8317;0,3615
"receptor";28;1,0513;-0,0762;-0,213;-0,5468;-0,1515;1,3748;-1,0867;-0,2302
"transferibles";22;-0,6031;-0,0599;-0,1673;0,2019;-0,1191;-1,0731;0,7058;0,7746
"rencias";17;-0,466;-0,0463;0,5892;-0,332;-0,092;-0,7486;1,668;-0,4623
"prometedor";24;-0,6579;-0,0653;-0,1825;-0,1457;-0,1299;-0,4201;0,4932;0,6158
"prin";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;-0,3841;-0,2741;0,9528
"permi";34;-0,9321;-0,0926;1,6784;-0,664;0,4617;-1,9067;1,3052;0,3018
"conte";41;-1,124;-0,1116;-0,3118;-0,8007;-0,2219;-1,7364;0,9256;1,7778
"gamificadas";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,3914;1,3183;-0,3487
